reported_date,testing_date,board_IDs,school_boards,school_ID,testing_sites
2021-03-12,2021-03-13,B66010;B67016,Avon Maitland DSB ; Huron-Superior CDSB,985418,St. Michaelâ€™s Secondary School  (Huron-Superior CDSB)
2021-03-12,2021-03-13,B66303;B67024;B66028;B67024,CS Viamonde ; Conseil scolaire catholique Providence ; Greater Essex County DSB ; Windsor-Essex CDSB,721735,Immaculate Conception Catholic School
2021-03-12,2021-03-13,B67105;B66060,Durham CDSB ; Durham DSB,826278,St Mary Catholic Secondary School
2021-03-12,2021-03-16,B67105;B66060,Durham CDSB ; Durham DSB,934991,Brooklin HS
2021-03-12,2021-03-17,B67105;B66060,Durham CDSB ; Durham DSB,741310,Monsignor Paul Dwyer Catholic High School
2021-03-12,2021-03-13,B67113,Halton CDSB,688231,Assumption Catholic Secondary School
2021-03-12,2021-03-16,B67113,Halton CDSB,738271,Notre Dame Catholic Secondary School
2021-03-12,2021-03-17,B67113,Halton CDSB,854212,St. Thomas Aquinas Catholic Secondary School
2021-03-12,2021-03-13,B66133,Halton DSB,953121,White Oaks High School
2021-03-12,2021-03-18,B66133,Halton DSB,953121,White Oaks High School
2021-03-12,2021-03-13,B67121,Hamilton-Wentworth CDSB,855685,St. Thomas More Catholic Secondary School
2021-03-12,2021-03-14,B66036;B67040,Lambton Kent DSB ; St Clair CDSB,890861,Great Lakes Secondary School
2021-03-12,2021-03-13,B66125,Peel DSB,487902,Robert H Lagerquist Senior Public School
2021-03-12,2021-03-13,B66125,Peel DSB,221538,Goldcrest Public School
2021-03-12,2021-03-14,B66125,Peel DSB,254568,Derry West Village Public School
2021-03-12,2021-03-14,B66125,Peel DSB,258121,Hillcrest Public School
2021-03-12,2021-03-18,B66125,Peel DSB,930660,North Park Secondary School
2021-03-12,2021-03-18,B66125,Peel DSB,917559,Humberview Secondary School
2021-03-12,2021-03-19,B66125,Peel DSB,899003,Cawthra Park Secondary School
2021-03-12,2021-03-13,B67199;B66214,Renfrew County DSB ; Renfrew County CDSB,814962,St Joseph's High School (Renfrew County CDSB)
2021-03-12,2021-03-17,B67091,Simcoe Muskoka CDSB,773050,St Thomas Aquinas Catholic Secondary School
2021-03-12,2021-03-15,B28070,Superior-Greenstone DSB,924652,Manitouwadge High School
2021-03-12,2021-03-16,B28070,Superior-Greenstone DSB,924784,Marathon High School
2021-03-12,2021-03-17,B28070,Superior-Greenstone DSB,940666,Lake Superior High School
2021-03-12,2021-03-18,B28070,Superior-Greenstone DSB,385131,George O'Neill Public School
2021-03-12,2021-03-19,B28070,Superior-Greenstone DSB,912565,Geraldton Composite School
2021-03-12,2021-03-13,B66087,Trillium Lakelands DSB,368946,Monck Public School
2021-03-12,2021-03-13,B67130;B66117,Upper Grand DSB ; Wellington CDSB ,745529,Our Lady of Lourdes Catholic High School (Wellington CDSB)
2021-03-12,2021-03-14,B66117;B67130 ,Upper Grand DSB ; Wellington CDSB ,745529,Our Lady of Lourdes Catholic High School (Wellington CDSB)
2021-03-12,2021-03-18,B67130;B66117,Upper Grand DSB ; Wellington CDSB ,792080,St. Francis (Wellington CDSB)
2021-03-12,2021-03-13,B67148;B66176,Waterloo CDSB  ;  Waterloo Region DSB,918555,Jacob Hespeler Secondary School (Waterloo Region DSB)
2021-03-12,2021-03-13,B67148;B66176,Waterloo CDSB  ;  Waterloo Region DSB,732320,Monsignor Doyle Catholic Secondary School (Waterloo CDSB)
2021-03-12,2021-03-13,B66095,York Region DSB,945508,Stephen Lewis Secondary School 
2021-03-12,2021-03-13,B66095,York Region DSB,954292,Woodbridge College 
2021-03-12,2021-03-13,B66095,York Region DSB,904970,Dr John M Denison Secondary School
